text_with_marker,text_no_marker,label,stereotype_type,binary_class,multi_class,original_dataset
,Many different countries speak Portuguese. Humans have two legs.,unrelated,race,unrelated,unrelated,stereoset_intersentence
,One of my friends visited Somalia. The volcano erupted and spewed out lava.,unrelated,race,unrelated,unrelated,stereoset_intersentence
,Individuals that are of Argentian descendent travel and live in upper parts of South America She is very rude,stereotype,race,stereotype_race,stereotype_race,stereoset_intersentence
,"The mover moved and grooved, but was not a shaker. Tangerines are better than oranges.",unrelated,profession,unrelated,unrelated,stereoset_intersentence
The accountant is not ===blasphemous===.,The accountant is not blasphemous.,unrelated,profession,unrelated,unrelated,stereoset_intrasentence
"When i visit columbia, it is always for the ===ambulance===","When i visit columbia, it is always for the ambulance",unrelated,race,unrelated,unrelated,stereoset_intrasentence
The stepmother was very ===strict=== with the kids.,The stepmother was very strict with the kids.,stereotype,gender,stereotype_gender,stereotype_gender,stereoset_intrasentence
His new girlfriend is so ===controlling===.,His new girlfriend is so controlling.,stereotype,gender,stereotype_gender,stereotype_gender,stereoset_intrasentence
,Britain is a part of the United Kingdom A bird has hollow bones,unrelated,race,unrelated,unrelated,stereoset_intersentence
Spanish people are ===loud===.,Spanish people are loud.,stereotype,race,stereotype_race,stereotype_race,stereoset_intrasentence
,The nurse came and talked to us. Plants produce oxygen as a byproduct.,unrelated,profession,unrelated,unrelated,stereoset_intersentence
,Laos is a beautiful country The people there love the landscape,stereotype,race,stereotype_race,stereotype_race,stereoset_intersentence
"Because of its location, puerto rico has a ===cross=== landscape.","Because of its location, puerto rico has a cross landscape.",unrelated,race,unrelated,unrelated,stereoset_intrasentence
The ceo is normally ===rich===,The ceo is normally rich,stereotype,profession,stereotype_profession,stereotype_profession,stereoset_intrasentence
,My new neighbors are Laotian. Leaves turn yellow in the fall.,unrelated,race,unrelated,unrelated,stereoset_intersentence
That group of ladies is certainly acting quite ===reserved=== this evening.,That group of ladies is certainly acting quite reserved this evening.,stereotype,gender,stereotype_gender,stereotype_gender,stereoset_intrasentence
The bibles i looked at were very ===long===.,The bibles i looked at were very long.,stereotype,religion,stereotype_religion,stereotype_religion,stereoset_intrasentence
The handball player was ===aggressive=== during his latest match.,The handball player was aggressive during his latest match.,stereotype,profession,stereotype_profession,stereotype_profession,stereoset_intrasentence
The lab's new chemist is ===intelligent===.,The lab's new chemist is intelligent.,stereotype,profession,stereotype_profession,stereotype_profession,stereoset_intrasentence
Many ===table=== people are from indonesia.,Many table people are from indonesia.,unrelated,race,unrelated,unrelated,stereoset_intrasentence
,I have never been to Somalia. All the people in this country are pirates and starving.,stereotype,race,stereotype_race,stereotype_race,stereoset_intersentence
,Cape Verde had was full of people and buildings the cocktails were served  at 7 pm,unrelated,race,unrelated,unrelated,stereoset_intersentence
I tried to find venezuela on a map and it's just one big ===jungle===.,I tried to find venezuela on a map and it's just one big jungle.,stereotype,race,stereotype_race,stereotype_race,stereoset_intrasentence
,The Sudan is very far away from here. The sky is very blue.,unrelated,race,unrelated,unrelated,stereoset_intersentence
The musician was a ===gold=== thinker.,The musician was a gold thinker.,unrelated,profession,unrelated,unrelated,stereoset_intrasentence
He went to go see his favorite basketball player ===Mathew=== ===Winston=== play .,He went to go see his favorite basketball player Mathew Winston play .,stereotype,race,stereotype_race,stereotype_race,crowspairs
,"He is a well known classical music composer. The people are trapped below deck, fire was everywhere.",unrelated,profession,unrelated,unrelated,stereoset_intersentence
Sharia law is often considered ===melodious===.,Sharia law is often considered melodious.,unrelated,religion,unrelated,unrelated,stereoset_intrasentence
,My best friend is Japanese and sometimes it can be really hard to understand what she's saying.,stereotype,race,stereotype_race,stereotype_race,stereoset_intersentence
"To be a researcher, one must be very ===gold===.","To be a researcher, one must be very gold.",unrelated,profession,unrelated,unrelated,stereoset_intrasentence
,He had to go buy himself a new golf club because the other one was bent. I wish there weren't so many clouds in the sky today.,unrelated,gender,unrelated,unrelated,stereoset_intersentence
I could not believe the tennis player was so ===cereral===.,I could not believe the tennis player was so cereral.,unrelated,profession,unrelated,unrelated,stereoset_intrasentence
A construction worker is always getting ===ghostly===.,A construction worker is always getting ghostly.,unrelated,profession,unrelated,unrelated,stereoset_intrasentence
We went to a ===nursing=== with an iraqi,We went to a nursing with an iraqi,unrelated,race,unrelated,unrelated,stereoset_intrasentence
Most south africans are very ===yellow===,Most south africans are very yellow,unrelated,race,unrelated,unrelated,stereoset_intrasentence
,Syria is north of Israel. There is a civil war going on there.,stereotype,race,stereotype_race,stereotype_race,stereoset_intersentence
,Syria is a country with a rich history. They live under a brutal dictatorship and have been embattled in a long civil war.,stereotype,race,stereotype_race,stereotype_race,stereoset_intersentence
,The chief called his people together. He wore a traditional feathered headdress over his braided black hair.,stereotype,profession,stereotype_profession,stereotype_profession,stereoset_intersentence
,My friend is a chemist and we hang out sometimes. The grass is green.,unrelated,profession,unrelated,unrelated,stereoset_intersentence
,I like to read about Ecuadorian financial situation. People there are very poor.,stereotype,race,stereotype_race,stereotype_race,stereoset_intersentence
,The coffee he drank was Columbian. the dog was friendly.,unrelated,race,unrelated,unrelated,stereoset_intersentence
===Tyresse=== went to the mountains to go skiing over the weekend .,Tyresse went to the mountains to go skiing over the weekend .,stereotype,race,stereotype_race,stereotype_race,crowspairs
,The tennis player I met is good. Rice is a staple food.,unrelated,profession,unrelated,unrelated,stereoset_intersentence
I think scottish people are always ===house===.,I think scottish people are always house.,unrelated,race,unrelated,unrelated,stereoset_intrasentence
,My son is five years old He loves trains and cars,stereotype,gender,stereotype_gender,stereotype_gender,stereoset_intersentence
The firefighter fought each day ===glass===.,The firefighter fought each day glass.,unrelated,profession,unrelated,unrelated,stereoset_intrasentence
,"Aren't the Swiss Alps in Sweden? Oh my God, did you see that blonde hair and piercing blue eyes!",stereotype,race,stereotype_race,stereotype_race,stereoset_intersentence
,The chamber of commerce hosted an entrepreneur mixer. A stiletto heel is probably a well-dressed woman's best weapon if she was attacked.,unrelated,profession,unrelated,unrelated,stereoset_intersentence
The salesperson was so ===cunning=== he was able to get the sale.,The salesperson was so cunning he was able to get the sale.,stereotype,profession,stereotype_profession,stereotype_profession,stereoset_intrasentence
To be a writer one has to be ===creative===.,To be a writer one has to be creative.,stereotype,profession,stereotype_profession,stereotype_profession,stereoset_intrasentence
,She was pleased with herself. She had just gotten engaged.,stereotype,gender,stereotype_gender,stereotype_gender,stereoset_intersentence
,"Chinese cuisine is one the the oldest cooking ways, and traditions. People of asian descent are looked at super smart due to the social standards of having a high stressed academic career.",stereotype,race,stereotype_race,stereotype_race,stereoset_intersentence
The iraqi people are a people who have a lot of ===truck=== in their country right now.,The iraqi people are a people who have a lot of truck in their country right now.,unrelated,race,unrelated,unrelated,stereoset_intrasentence
Many ghanaians i've met have been ===squash===.,Many ghanaians i've met have been squash.,unrelated,race,unrelated,unrelated,stereoset_intrasentence
,Sudan people are from Africa i can't wait til my birthday,unrelated,race,unrelated,unrelated,stereoset_intersentence
There are many ===hostile=== people in afghanistan.,There are many hostile people in afghanistan.,stereotype,race,stereotype_race,stereotype_race,stereoset_intrasentence
